Genes,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
MAPK1,7.80251391004462,10.2021037641938,9.95374109134794,9.39861456689034,8.61837650465127,10.487751346645,8.64411560610376,10.0264651155008,9.92674253241006,9.66341783405788,9.34414538603231,9.78407355571468,9.23998961577875,9.14343652419986,9.22457870660504,10.0323032573702,9.53250473230893,7.37586248350151,9.26357424938713,7.16849489322104,7.94050428889922,8.69581968847673,9.13213750019861,9.60293873527639,9.46373162683572,9.2498071916209,8.78351654528396,7.88108051296791,8.31185371598437,6.6705621810496,7.90306333150039,8.2854826243478,7.98226052749228,7.16588474099437,7.61082972965153,8.13983948667184,8.02338319208505,10.7976720460695,10.5836792921983,10.2795453608514,9.31291375209276,9.20624472166653,9.1634863753717,9.80156659838918,7.88812659337575,7.33422032377154,7.67244058406337,8.30471794415222,7.6566844025212,9.4451092582539,8.3399355735148,8.0922601565399,7.89578944816808,9.31187782248171,7.40197057387948,8.93587841520784,7.72015269950449,8.20756365241506,,,,,,,,,,,,,,
EEF1G,8.65819381172921,10.9677746493776,12.9130321368775,10.4528115393767,10.5379736084234,11.5247747345672,10.4902519937014,11.5330085280701,11.7797201481581,11.8706944952974,12.5339836669886,12.2920469358691,11.6888027701909,11.7054559948901,12.1471552026631,11.472509922385,11.5171461663893,8.55420361675813,11.6141143910868,10.3455433360719,10.5956485403891,11.6871789782216,11.2745816530746,11.8711825908765,12.0252923344933,9.97253109221869,9.86089044950595,9.56866475084335,8.81261563219274,8.54957471675249,9.15952747477813,8.19348709281441,8.70847447897798,9.20488997922038,8.60426921342208,9.53416711091992,9.58064018586546,11.2356624885765,10.9328161588698,8.70279526384145,11.2135980566898,12.4268743918142,10.4619304509062,11.6899758575203,8.93588292070682,8.37331387734535,9.37775270398826,9.89087718233215,8.4554640593903,12.0746999009125,9.6472849280897,10.8656089188781,10.0664144743414,11.6697722100861,10.785955551437,12.3457412961871,9.99397867654331,10.112905591252,10.1711147323403,10.109762226074,9.14988598784947,9.04936367494353,9.10876725677563,7.65617354633437,8.29809134618645,7.58490121622322,8.7669360641715,6.23807673029568,8.08722175675588,8.05976940133598,7.48599805762918,6.61859813519159
PFDN1,,9.44879552570698,10.1368924410588,8.8299307592133,8.93964047903838,10.3798430579532,8.64501959679503,9.4884227753092,9.85562029894118,9.5649506243189,9.37564529114565,9.42852709204507,9.4839423654515,9.45279389397382,9.62225830917618,9.5028165556597,9.56557065812873,7.3805490920405,9.18571155838097,8.02261002323786,8.67229385815718,9.49700370694788,9.63415048390227,9.32713649616,9.49385543910902,7.92993911142774,8.16441200643018,7.62957964752282,6.88956479668775,7.57805810183861,7.80465172105717,7.97914410140895,8.13541464246322,7.83743080414273,7.50741778270859,8.16134120601744,7.66571947858344,9.9302368164598,9.30286213944702,9.07446383619038,9.26704186446243,9.7317948035723,8.51140001110413,9.41327148785716,,,7.86613658740378,8.23284386208277,,9.67769040935199,8.92100671242516,8.24174310966809,7.84241496739265,10.0212172173238,8.37700281240255,9.71569589996801,7.77089926862995,8.50616633660373,7.91537739330961,7.85555920413921,,6.86203999871955,7.54834508687815,,,,7.81614537083172,,,,7.40996891754536,
PSMD5,7.07215550680888,8.61299295534153,9.98470468792604,8.19951456686809,9.30748046861153,9.31766947094443,8.60921840214218,9.00206039853128,9.06024680941955,9.11264315588447,9.58757268641866,9.52748664764944,10.3838889047723,9.23483155704667,9.29720368998051,8.78334992587282,9.08466126379283,8.20316049823354,8.90685552972685,7.89320728563597,8.54346719339935,9.05484785710326,8.898052154903,9.20731619837681,9.50751973606954,7.71442333854445,7.90710553640736,7.35961354501398,7.25245998736607,7.63056516510571,7.5020518993629,7.49444412057036,8.20122583724827,7.72140231078753,6.51804871178028,7.51740590271298,7.50238481552119,8.95451200016424,8.67162217991459,8.5051978866331,8.81931288192172,9.61417088756791,8.30560237901504,9.61497534692996,7.98509327139262,,7.71279095237378,8.0412701056268,,9.40722364309632,7.30705162670507,9.05886144364393,7.85759595612656,9.12122123459526,8.56311144991364,9.31017790843113,8.17549431428609,8.73549166556456,7.65647813355095,7.90704899184298,7.42344306345969,7.51892551167068,8.04677454057977,7.35783218916555,6.92793914246218,7.55524601172061,8.05301807222384,6.83867515164822,,6.49320249022762,7.05497748636487,6.50788051452567
RAN,9.60794252579149,10.2094878497273,10.6522255346034,9.6187293881354,10.5556187088243,10.3292284981842,9.70087341178501,10.0650459791506,9.97793309387225,11.2528764675699,10.2277792679574,9.75727832168201,12.1107475972171,10.3813125348308,10.2891624676989,9.65307453267957,10.5614141578465,10.3849670310341,10.1524871504845,9.54157720669872,9.29173534806633,10.1942765045345,10.2554959567686,10.9618432605706,10.4836611360587,11.0360050666019,11.2167857386537,9.20959325620766,9.54240601128184,9.34376121524847,9.57870653809479,9.11679001156719,10.4000297083143,9.93496775916558,8.80583657109044,9.52103832345895,8.87239441088466,10.3023398823111,11.3839432185747,12.2359226008715,10.3385155220918,10.5603193648749,9.82006873319457,11.246141217859,10.1331295899912,8.66792430249165,9.89202670644281,9.86846252678004,8.62078954840428,10.6925912385621,8.81476421764562,10.564386421732,10.1475445673098,10.0366787620456,10.0473557665804,10.4178105937944,10.6714476159042,9.84570843681176,9.74932185647652,9.92328718837971,9.0774086436432,9.47825462443689,10.1676389438243,10.0925398115422,9.26980745759892,9.7262418913996,9.97220137419257,9.17155822588669,8.82004367561202,9.43671148329503,10.1526815652896,8.74979828512625
LGALS1,7.71447804053,9.29811925767847,8.3870041120932,8.46932622452564,8.39098548542525,9.29771775089374,8.16531341321168,8.71707611103123,8.75021990915371,9.64477741419492,8.30843715621845,8.54700780545807,8.26763769645086,8.61352167949699,9.41170429657856,9.11896724687648,8.69990860076011,8.00729243065832,8.33114575667275,8.01961099286895,7.92438237748245,8.40348928118209,8.14726043523517,9.00642873642228,8.8561621250983,9.26095165439025,8.76509507262527,8.23279940205539,7.66436017618666,6.99263551701976,8.63514444854753,7.84013824184554,6.85474789654425,7.76993425459786,8.31222559858358,8.47024798915663,7.61432237583759,10.0136704517017,8.97332471784591,8.77280377895155,8.40959726070833,8.55152708585346,7.91735950763374,8.9227869056505,7.79265987764988,8.36541275704993,8.08175215841135,8.63048390032819,,8.49571020510468,7.61619772696191,7.62188568823777,8.25148935231362,9.83678688652795,8.33210957761364,9.17431773034278,8.07577715880203,7.76082430821864,7.89223239632204,8.03822839218438,7.30736379984177,8.15476679730829,7.8594252525748,7.73682799919241,7.43363143352583,8.03651253530316,8.20507647610696,8.14715962716211,7.89317669608344,7.94128726603375,7.6941678085238,7.645357207644
CAPZA1,7.88102268034044,10.7977660468849,11.1776351750354,9.86106326175691,9.95317971352718,11.1231252472874,9.74284766402413,10.845883493762,10.9191712360682,10.5054328685672,10.7216550012352,11.3583367439238,10.6741748748766,11.0704144172256,10.9163908301084,10.8036336543585,10.5128672169747,8.13488370054311,10.2929021273592,9.39820060464795,9.74779483227317,10.6754600899216,9.96512723738192,10.2148421850978,10.7989737493309,9.02490777177161,8.93499040611682,8.88899154501646,8.4902083314166,7.63955381167811,8.79956188510653,8.05406190017409,8.85018799372434,8.41585143381872,8.4479857339302,9.25958222546,8.98243453550318,11.2892813146191,10.3875291176286,9.27114908176409,10.5222075288992,10.8464456231072,9.80289946457676,10.1422515511441,7.13390894253484,7.87255240682954,9.1411965694954,9.54288131333828,8.15948882512576,10.719662028189,9.53333263632799,9.39685406449204,9.61356988311531,11.2416729580277,9.61735868144218,10.6623208550573,9.00010998693205,9.88910454618995,9.22378356679871,8.43512768547798,8.3189001300391,8.03013363687059,8.88681359674507,7.33968613957191,7.18113824413995,7.07608324528103,8.37845796058143,5.86554372957383,6.5839127362828,7.47595506488518,7.30208958633187,6.27659984068157
PPP1CB,8.01034516339327,10.5829863182907,10.8903162351642,8.45101569186257,10.0590128571049,10.9415960748089,9.89959930858714,10.7825353218684,10.0304305751713,10.1524356831895,10.3888780767884,10.3238908448297,10.4781163855633,10.513478895638,10.0238493233904,11.1033367668073,9.68249072327113,7.9044231062517,9.93615906104696,8.42253465387067,9.01205417983915,9.89296692045792,9.48773660337994,10.2478627755065,11.2246468113626,9.00602661849925,9.05905434057769,8.51671355718509,8.64084497136084,8.07132211492871,8.53449827557997,6.98792856162356,,7.72650994441737,8.86007963607481,8.59143888284624,9.39144142639346,10.8095884645662,9.99191811216681,9.74752892187617,9.93447009061678,10.2062926107011,9.1977045675958,10.5175722328526,8.49217935506938,8.0800766785208,8.98830616173453,8.19612226963423,,10.0834638063227,9.88467056211882,8.96987870995031,9.23610283732911,10.4809930259547,8.97536738575567,10.6658606571069,8.84057251704021,9.83422657250058,8.575533521969,7.96623218165274,8.4114806212245,,6.90998587094338,6.9219527359073,6.78288031376005,,7.86069811853226,,7.60122891151572,7.31890585167304,,
NAP1L4,8.42778247281557,9.77784276351585,11.4172983507258,9.65765565229269,9.60051508189146,10.7542449012734,9.8966377282141,10.2902209373333,10.9787236539322,10.8503595591591,11.1608254388581,10.9025315119848,11.3699292313504,10.6630533027034,10.932493259444,10.4678030153403,10.5056371295075,8.9556011186853,10.6156342803429,9.74040735055858,9.49354180724908,10.2645632887857,10.7719732642558,10.4239984539035,11.1507001980213,9.19909969228364,9.41794964341003,8.77535017109362,8.50552404624979,8.18097951196608,8.76174661675234,7.55195985717472,9.14351152531962,8.72775284703924,8.13194703384968,8.84795628131201,8.8501309240803,9.98269356734341,10.1080755129455,10.7522227852381,10.0464691436238,11.0908993068863,9.61866993524488,10.938541907146,8.73605294789754,7.85339774480266,8.5933418046155,8.74135246500753,8.03910670862968,11.2541904353192,9.13951264089618,10.2351666813323,9.10113614935676,10.3028663161644,9.65845219944438,11.0489310716883,9.35589100827845,9.2708763346548,9.46180182600328,9.65557207641034,8.29912749106248,8.67572903144957,8.87085028961066,8.21622019463082,7.97503353783173,8.13523223834136,8.68423866074713,7.08286397826764,7.73287799389008,8.05654401374944,7.68565744341682,6.06771287773681
CAPZA2,7.28230193095778,10.7777321894984,11.374836776805,9.56098160220085,10.4519182580583,11.1636066327606,9.67830083051014,10.8482489143851,10.4319302844765,10.2816373279741,10.4207266617992,10.8651498917624,10.5261087349574,10.8384916360765,10.6315732401618,10.9301553683195,10.1297384573004,7.94536447997882,10.0087289928956,9.14098958002281,9.59339082544541,10.4568476630899,9.94204586258984,10.0500356482102,10.9930181390288,8.16128273981447,8.53925727881533,8.80017927004181,8.60856536307192,7.98127595080253,8.694682601053,7.58460547440001,9.13486822735572,8.19768542895252,8.43422733394081,8.89233363295788,9.05942366862647,11.2835362186106,10.1609388285304,8.90677076781556,10.0014460211233,10.217596314897,9.29881528986319,10.0427778470748,7.94156163232578,8.24668082265038,9.26166671837895,8.91522305241827,8.39421199645031,10.4465578831664,9.42490830875798,8.83541068349957,9.33437125660164,10.9667657564211,9.47324298795384,10.4155989059069,8.82237646632212,9.92337992053138,9.04654413427888,8.35355896387396,8.46940002213589,8.09589888020177,8.0391465802944,7.00716022115826,7.44250107421895,6.89067366130669,8.19098504812455,6.00116760825573,7.30648155772706,7.01651949403022,7.02437043293496,
