Genes,Sample 2,Sample 3,Sample 4,Sample 5,Sample 60,Sample 6,Sample 7,Sample 8,Sample 9,Sample 62,Sample 10,Sample 11,Sample 21,Sample 12,Sample 13,Sample 63,Sample 14,Sample 15,Sample 23,Sample 16,Sample 17,Sample 18,Sample 19,Sample 26,Sample 20,Sample 22,Sample 24,Sample 25,Sample 30,Sample 53,Sample 32,Sample 34,Sample 41,Sample 43,Sample 91,Sample 45,Sample 70,Sample 47,Sample 92,Sample 48,Sample 49,Sample 93,Sample 54,Sample 55,Sample 94,Sample 74,Sample 96,Sample 75,Sample 85,Sample 86,Sample 88,Sample 89,Sample 72,Sample 82
MAPK1,10.2021037641938,9.95374109134794,9.39861456689034,8.75008325628872,8.61837650465127,8.98199575906311,10.487751346645,9.48739286676081,9.40281503737182,8.64411560610376,10.0264651155008,9.92674253241006,9.66341783405788,9.34414538603231,9.78407355571468,9.23998961577875,9.14343652419986,9.22457870660504,10.0323032573702,9.42985233696302,9.53250473230893,9.26357424938713,7.16849489322104,7.94050428889922,8.69581968847673,9.13213750019861,9.60293873527639,9.46373162683572,9.2498071916209,8.78351654528396,7.88108051296791,7.90306333150039,8.13983948667184,10.7976720460695,8.94268265399843,10.5836792921983,10.2795453608514,9.31291375209276,9.20624472166653,9.1634863753717,9.80156659838918,8.95494159673924,7.67244058406337,8.30471794415222,9.4451092582539,8.0922601565399,7.89578944816808,9.31187782248171,7.40197057387948,8.93587841520784,7.72015269950449,8.20756365241506,,
SUGT1,9.7872781528247,7.67427945786494,8.86829047589576,7.48089787050715,,8.24465295641612,9.61804457002126,8.50434663859492,7.92226433822992,7.68243275820055,9.06707219766363,8.45330636347879,7.69693995962842,7.82081095084468,8.35082269436136,8.17153228705163,8.53642011785583,8.47589598706193,8.65887664644353,8.51537160537413,8.67011820049379,8.19371729362577,,6.89436324524072,7.74046363271828,8.28919337296291,8.33126606564426,8.317961012522,8.80772608755688,7.17564634307243,,7.45640985962477,7.73266161690329,10.1592531548908,7.75613329282161,9.0183217724191,8.47496479509268,8.50091390449553,7.6606149216513,7.89770503418297,8.26722422769729,8.08372446585158,7.01439770336428,7.49149884447082,7.58393387792378,,7.01601368773339,8.5288822051848,6.51701585892539,7.64800272869908,,,,
RBX1,9.26370554217648,9.46321339426164,8.73896378911404,9.04074571230982,8.2103878295338,8.4735198475184,9.38497919855656,9.08118952225239,9.15403503657407,8.49360004210091,9.17290226725733,9.2678085156237,8.82886313398608,8.87212409920478,8.79351619569355,9.45426128268696,9.02036306951999,9.16551705776247,9.04391751225953,9.32075278405364,8.80224132643827,8.93204069624605,7.98507209103873,8.4555902800877,8.51056883631731,9.07788099443478,9.36574845669887,9.1796367090165,8.46272461656199,8.24823595202175,7.68909809400102,7.99569316713604,8.06279388219695,9.55913364556203,8.89945697641222,8.94942217594908,9.23779589530162,8.70396386992585,8.96737564702148,,8.98353675743537,8.64706079192759,8.04399829845376,8.05807060973796,8.87661679149857,8.29992825400866,7.75651724127676,8.82756299792137,7.91729951947172,8.34950080867491,,,7.45843269858334,
PEPD,8.23896967303222,7.63321292615283,8.19781174210136,7.96780864209102,7.55071243701843,7.95835922730871,8.6228010812296,7.63237106251721,7.36830059942578,7.50417937615979,7.8929337014902,7.76362234487989,6.87078069047326,6.51918679674161,7.79052001883074,7.4253062117136,7.65414733054703,7.58379649733177,8.3001762631179,7.06524591420303,7.41587911986367,7.06364943312547,6.40824895673971,6.61958015064162,7.0115682183547,6.89785506842976,7.04761930031643,7.35152862176347,6.87252906178454,7.54831219312605,7.07418193178075,,6.4406058178822,9.1089197581564,6.91472387332977,7.01183955756121,8.95476834986382,7.71532506918374,6.5879551299624,10.3442800545163,7.33246892055424,7.04983375341495,7.34929023644736,,6.5628724776791,6.24009311249362,7.07529260360472,7.45309409271059,6.39394436183865,6.44934512602093,6.6442280378411,7.63046963677797,,7.57687200412442
EEF1G,10.9677746493776,12.9130321368775,10.4528115393767,12.0987844014398,10.5379736084234,11.9932995742127,11.5247747345672,12.1390934923631,11.5979340981322,10.4902519937014,11.5330085280701,11.7797201481581,11.8706944952974,12.5339836669886,12.2920469358691,11.6888027701909,11.7054559948901,12.1471552026631,11.472509922385,11.6705020357438,11.5171461663893,11.6141143910868,10.3455433360719,10.5956485403891,11.6871789782216,11.2745816530746,11.8711825908765,12.0252923344933,9.97253109221869,9.86089044950595,9.56866475084335,9.15952747477813,9.53416711091992,11.2356624885765,11.8390882599768,10.9328161588698,8.70279526384145,11.2135980566898,12.4268743918142,10.4619304509062,11.6899758575203,12.027638800275,9.37775270398826,9.89087718233215,12.0746999009125,10.8656089188781,10.0664144743414,11.6697722100861,10.785955551437,12.3457412961871,9.99397867654331,10.112905591252,10.1711147323403,10.109762226074
VTA1,8.46817153636245,9.32274820970449,8.31256874524905,10.0844008028828,8.74755627147954,8.98200971665708,8.98458491210694,8.92280285668281,9.08124802002261,8.27427407478625,8.77145409145069,8.36673991490024,8.67544368093898,8.45782318082122,8.90392129710324,8.87620205337909,8.74359477054111,8.80439159007306,8.8696725983054,8.50037194310148,8.40300778312829,8.65749093990583,7.14143865974583,7.0373281383479,8.10837457362296,7.48345915347923,7.63626463118401,9.14232086128247,7.83784384948711,8.56179229435428,6.90778039281679,7.64453858241825,5.95252121462548,8.97395870449582,7.82620605574087,8.06951827377668,8.25497683378369,8.25404321949681,8.16960999914587,7.83645464307091,8.79713802451102,8.05130878413269,7.52374800077772,7.38572187507086,8.02353840942696,7.64360190872717,7.53232982819174,8.40993658385023,7.53067824909481,8.12515163368626,7.46988471466938,8.36936169547843,,6.94848423099506
LSM5,8.41618657308795,10.0325271375203,7.74403861871598,11.0510904735884,8.79514470831455,9.02326221014549,9.30733755978394,8.70767498111592,9.3486468416739,8.1775268780328,9.00066020926677,7.98640434904722,9.11917741493028,8.20706783736389,8.0196450841989,8.38283073753982,8.03265974416988,8.59763408377721,9.13031456957265,8.33147354208356,7.7630757033823,7.8608894995014,6.70589805352205,6.99886345500672,7.57524097441024,8.29441150784626,8.36838797205995,9.49416588089888,8.91240162705811,8.09981296099118,6.91170317249505,7.32084711113739,6.73001249780813,7.91381902595817,6.31342841066263,7.44128414778525,8.46312305145548,7.90625234749425,7.67381343007362,7.40162383901545,8.27984991567574,7.33281439860512,7.51667536791836,6.28394388805583,8.47738682676918,7.45373663744504,6.42303764234109,8.96862053543955,7.40315303220228,7.51172023033948,6.98384135807457,8.32843062556471,6.54900134232281,6.50744181806984
PFDN1,9.44879552570698,10.1368924410588,8.8299307592133,10.2665739545174,8.93964047903838,9.38693082059519,10.3798430579532,9.36722239151231,9.0891033390471,8.64501959679503,9.4884227753092,9.85562029894118,9.5649506243189,9.37564529114565,9.42852709204507,9.4839423654515,9.45279389397382,9.62225830917618,9.5028165556597,9.72911123151854,9.56557065812873,9.18571155838097,8.02261002323786,8.67229385815718,9.49700370694788,9.63415048390227,9.32713649616,9.49385543910902,7.92993911142774,8.16441200643018,7.62957964752282,7.80465172105717,8.16134120601744,9.9302368164598,9.35311923516185,9.30286213944702,9.07446383619038,9.26704186446243,9.7317948035723,8.51140001110413,9.41327148785716,9.29229396090248,7.86613658740378,8.23284386208277,9.67769040935199,8.24174310966809,7.84241496739265,10.0212172173238,8.37700281240255,9.71569589996801,7.77089926862995,8.50616633660373,7.91537739330961,7.85555920413921
PSMD5,8.61299295534153,9.98470468792604,8.19951456686809,10.078999339796,9.30748046861153,9.69908413221279,9.31766947094443,9.36138613941596,8.7458497702556,8.60921840214218,9.00206039853128,9.06024680941955,9.11264315588447,9.58757268641866,9.52748664764944,10.3838889047723,9.23483155704667,9.29720368998051,8.78334992587282,9.10548924069031,9.08466126379283,8.90685552972685,7.89320728563597,8.54346719339935,9.05484785710326,8.898052154903,9.20731619837681,9.50751973606954,7.71442333854445,7.90710553640736,7.35961354501398,7.5020518993629,7.51740590271298,8.95451200016424,8.98670513072324,8.67162217991459,8.5051978866331,8.81931288192172,9.61417088756791,8.30560237901504,9.61497534692996,9.20978321476369,7.71279095237378,8.0412701056268,9.40722364309632,9.05886144364393,7.85759595612656,9.12122123459526,8.56311144991364,9.31017790843113,8.17549431428609,8.73549166556456,7.65647813355095,7.90704899184298
RAN,10.2094878497273,10.6522255346034,9.6187293881354,10.5223992900686,10.5556187088243,10.6372606652745,10.3292284981842,10.4910999315217,10.4850723419604,9.70087341178501,10.0650459791506,9.97793309387225,11.2528764675699,10.2277792679574,9.75727832168201,12.1107475972171,10.3813125348308,10.2891624676989,9.65307453267957,10.2076600444222,10.5614141578465,10.1524871504845,9.54157720669872,9.29173534806633,10.1942765045345,10.2554959567686,10.9618432605706,10.4836611360587,11.0360050666019,11.2167857386537,9.20959325620766,9.57870653809479,9.52103832345895,10.3023398823111,10.6000302749442,11.3839432185747,12.2359226008715,10.3385155220918,10.5603193648749,9.82006873319457,11.246141217859,10.2833610602193,9.89202670644281,9.86846252678004,10.6925912385621,10.564386421732,10.1475445673098,10.0366787620456,10.0473557665804,10.4178105937944,10.6714476159042,9.84570843681176,9.74932185647652,9.92328718837971
